"","genes_list","description"
"5199","FAM89A","family with sequence similarity 89 member A [Source:HGNC Symbol;Acc:HGNC:25057]"
"5200","FAM89B","family with sequence similarity 89 member B [Source:HGNC Symbol;Acc:HGNC:16708]"
"5201","FAM8A1","family with sequence similarity 8 member A1 [Source:HGNC Symbol;Acc:HGNC:16372]"
"5202","FAM90A26","family with sequence similarity 90 member A26 [Source:HGNC Symbol;Acc:HGNC:43746]"
"5203","FAM91A1","family with sequence similarity 91 member A1 [Source:HGNC Symbol;Acc:HGNC:26306]"
"5204","FAM92B",NA
"5205","FAM98A","family with sequence similarity 98 member A [Source:HGNC Symbol;Acc:HGNC:24520]"
"5206","FAM98B","family with sequence similarity 98 member B [Source:HGNC Symbol;Acc:HGNC:26773]"
"5207","FAM98C","family with sequence similarity 98 member C [Source:HGNC Symbol;Acc:HGNC:27119]"
"5208","FAM9A","family with sequence similarity 9 member A [Source:HGNC Symbol;Acc:HGNC:18403]"
"5209","FAM9B","family with sequence similarity 9 member B [Source:HGNC Symbol;Acc:HGNC:18404]"
"5210","FAN1","FANCD2 and FANCI associated nuclease 1 [Source:HGNC Symbol;Acc:HGNC:29170]"
"5211","FANCA","FA complementation group A [Source:HGNC Symbol;Acc:HGNC:3582]"
"5212","FANCB","FA complementation group B [Source:HGNC Symbol;Acc:HGNC:3583]"
"5213","FANCC","FA complementation group C [Source:HGNC Symbol;Acc:HGNC:3584]"
"5214","FANCD2","FA complementation group D2 [Source:HGNC Symbol;Acc:HGNC:3585]"
"5215","FANCD2OS","FANCD2 opposite strand [Source:HGNC Symbol;Acc:HGNC:28623]"
"5216","FANCE","FA complementation group E [Source:HGNC Symbol;Acc:HGNC:3586]"
"5217","FANCF","FA complementation group F [Source:HGNC Symbol;Acc:HGNC:3587]"
"5218","FANCG","FA complementation group G [Source:HGNC Symbol;Acc:HGNC:3588]"
"5219","FANCI","FA complementation group I [Source:HGNC Symbol;Acc:HGNC:25568]"
"5220","FANCL","FA complementation group L [Source:HGNC Symbol;Acc:HGNC:20748]"
"5221","FANCM","FA complementation group M [Source:HGNC Symbol;Acc:HGNC:23168]"
"5222","FANK1","fibronectin type III and ankyrin repeat domains 1 [Source:HGNC Symbol;Acc:HGNC:23527]"
"5223","FAP","fibroblast activation protein alpha [Source:HGNC Symbol;Acc:HGNC:3590]"
"5224","FAR1","fatty acyl-CoA reductase 1 [Source:HGNC Symbol;Acc:HGNC:26222]"
"5225","FAR2","fatty acyl-CoA reductase 2 [Source:HGNC Symbol;Acc:HGNC:25531]"
"5226","FARP1","FERM, ARH/RhoGEF and pleckstrin domain protein 1 [Source:HGNC Symbol;Acc:HGNC:3591]"
"5227","FARP2","FERM, ARH/RhoGEF and pleckstrin domain protein 2 [Source:HGNC Symbol;Acc:HGNC:16460]"
"5228","FARS2","phenylalanyl-tRNA synthetase 2, mitochondrial [Source:HGNC Symbol;Acc:HGNC:21062]"
"5229","FARSA","phenylalanyl-tRNA synthetase subunit alpha [Source:HGNC Symbol;Acc:HGNC:3592]"
"5230","FARSB","phenylalanyl-tRNA synthetase subunit beta [Source:HGNC Symbol;Acc:HGNC:17800]"
"5231","FAS","Fas cell surface death receptor [Source:HGNC Symbol;Acc:HGNC:11920]"
"5232","FASLG","Fas ligand [Source:HGNC Symbol;Acc:HGNC:11936]"
"5233","FASN","fatty acid synthase [Source:HGNC Symbol;Acc:HGNC:3594]"
"5234","FASTK","Fas activated serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:24676]"
"5235","FASTKD1","FAST kinase domains 1 [Source:HGNC Symbol;Acc:HGNC:26150]"
"5236","FASTKD2","FAST kinase domains 2 [Source:HGNC Symbol;Acc:HGNC:29160]"
"5237","FASTKD3","FAST kinase domains 3 [Source:HGNC Symbol;Acc:HGNC:28758]"
"5238","FASTKD5","FAST kinase domains 5 [Source:HGNC Symbol;Acc:HGNC:25790]"
"5239","FAT1","FAT atypical cadherin 1 [Source:HGNC Symbol;Acc:HGNC:3595]"
"5240","FAT2","FAT atypical cadherin 2 [Source:HGNC Symbol;Acc:HGNC:3596]"
"5241","FAT3","FAT atypical cadherin 3 [Source:HGNC Symbol;Acc:HGNC:23112]"
"5242","FAT4","FAT atypical cadherin 4 [Source:HGNC Symbol;Acc:HGNC:23109]"
"5243","FATE1","fetal and adult testis expressed 1 [Source:HGNC Symbol;Acc:HGNC:24683]"
"5244","FAXC","failed axon connections homolog, metaxin like GST domain containing [Source:HGNC Symbol;Acc:HGNC:20742]"
"5245","FAXDC2","fatty acid hydroxylase domain containing 2 [Source:HGNC Symbol;Acc:HGNC:1334]"
"5246","FBF1","Fas binding factor 1 [Source:HGNC Symbol;Acc:HGNC:24674]"
"5247","FBH1","F-box DNA helicase 1 [Source:HGNC Symbol;Acc:HGNC:13620]"
"5248","FBLIM1","filamin binding LIM protein 1 [Source:HGNC Symbol;Acc:HGNC:24686]"
"5249","FBLL1","fibrillarin like 1 [Source:HGNC Symbol;Acc:HGNC:35458]"
"5250","FBLN1","fibulin 1 [Source:HGNC Symbol;Acc:HGNC:3600]"
"5251","FBLN2","fibulin 2 [Source:HGNC Symbol;Acc:HGNC:3601]"
"5252","FBLN5","fibulin 5 [Source:HGNC Symbol;Acc:HGNC:3602]"
"5253","FBLN7","fibulin 7 [Source:HGNC Symbol;Acc:HGNC:26740]"
"5254","FBN1","fibrillin 1 [Source:HGNC Symbol;Acc:HGNC:3603]"
"5255","FBN2","fibrillin 2 [Source:HGNC Symbol;Acc:HGNC:3604]"
"5256","FBN3","fibrillin 3 [Source:HGNC Symbol;Acc:HGNC:18794]"
"5257","FBP1","fructose-bisphosphatase 1 [Source:HGNC Symbol;Acc:HGNC:3606]"
"5258","FBP2","fructose-bisphosphatase 2 [Source:HGNC Symbol;Acc:HGNC:3607]"
"5259","FBRS","fibrosin [Source:HGNC Symbol;Acc:HGNC:20442]"
"5260","FBRSL1","fibrosin like 1 [Source:HGNC Symbol;Acc:HGNC:29308]"
"5261","FBXL12","F-box and leucine rich repeat protein 12 [Source:HGNC Symbol;Acc:HGNC:13611]"
"5262","FBXL13","F-box and leucine rich repeat protein 13 [Source:HGNC Symbol;Acc:HGNC:21658]"
"5263","FBXL14","F-box and leucine rich repeat protein 14 [Source:HGNC Symbol;Acc:HGNC:28624]"
"5264","FBXL15","F-box and leucine rich repeat protein 15 [Source:HGNC Symbol;Acc:HGNC:28155]"
"5265","FBXL16","F-box and leucine rich repeat protein 16 [Source:HGNC Symbol;Acc:HGNC:14150]"
"5266","FBXL17","F-box and leucine rich repeat protein 17 [Source:HGNC Symbol;Acc:HGNC:13615]"
"5267","FBXL18","F-box and leucine rich repeat protein 18 [Source:HGNC Symbol;Acc:HGNC:21874]"
"5268","FBXL19","F-box and leucine rich repeat protein 19 [Source:HGNC Symbol;Acc:HGNC:25300]"
"5269","FBXL2","F-box and leucine rich repeat protein 2 [Source:HGNC Symbol;Acc:HGNC:13598]"
"5270","FBXL20","F-box and leucine rich repeat protein 20 [Source:HGNC Symbol;Acc:HGNC:24679]"
"5271","FBXL22","F-box and leucine rich repeat protein 22 [Source:HGNC Symbol;Acc:HGNC:27537]"
"5272","FBXL3","F-box and leucine rich repeat protein 3 [Source:HGNC Symbol;Acc:HGNC:13599]"
"5273","FBXL4","F-box and leucine rich repeat protein 4 [Source:HGNC Symbol;Acc:HGNC:13601]"
"5274","FBXL5","F-box and leucine rich repeat protein 5 [Source:HGNC Symbol;Acc:HGNC:13602]"
"5275","FBXL6","F-box and leucine rich repeat protein 6 [Source:HGNC Symbol;Acc:HGNC:13603]"
"5276","FBXL7","F-box and leucine rich repeat protein 7 [Source:HGNC Symbol;Acc:HGNC:13604]"
"5277","FBXL8","F-box and leucine rich repeat protein 8 [Source:HGNC Symbol;Acc:HGNC:17875]"
"5278","FBXO10","F-box protein 10 [Source:HGNC Symbol;Acc:HGNC:13589]"
"5279","FBXO11","F-box protein 11 [Source:HGNC Symbol;Acc:HGNC:13590]"
"5280","FBXO15","F-box protein 15 [Source:HGNC Symbol;Acc:HGNC:13617]"
"5281","FBXO16","F-box protein 16 [Source:HGNC Symbol;Acc:HGNC:13618]"
"5282","FBXO17","F-box protein 17 [Source:HGNC Symbol;Acc:HGNC:18754]"
"5283","FBXO2","F-box protein 2 [Source:HGNC Symbol;Acc:HGNC:13581]"
"5284","FBXO21","F-box protein 21 [Source:HGNC Symbol;Acc:HGNC:13592]"
"5285","FBXO22","F-box protein 22 [Source:HGNC Symbol;Acc:HGNC:13593]"
"5286","FBXO24","F-box protein 24 [Source:HGNC Symbol;Acc:HGNC:13595]"
"5287","FBXO25","F-box protein 25 [Source:HGNC Symbol;Acc:HGNC:13596]"
"5288","FBXO27","F-box protein 27 [Source:HGNC Symbol;Acc:HGNC:18753]"
"5289","FBXO28","F-box protein 28 [Source:HGNC Symbol;Acc:HGNC:29046]"
"5290","FBXO3","F-box protein 3 [Source:HGNC Symbol;Acc:HGNC:13582]"
"5291","FBXO30","F-box protein 30 [Source:HGNC Symbol;Acc:HGNC:15600]"
"5292","FBXO31","F-box protein 31 [Source:HGNC Symbol;Acc:HGNC:16510]"
"5293","FBXO32","F-box protein 32 [Source:HGNC Symbol;Acc:HGNC:16731]"
"5294","FBXO33","F-box protein 33 [Source:HGNC Symbol;Acc:HGNC:19833]"
"5295","FBXO34","F-box protein 34 [Source:HGNC Symbol;Acc:HGNC:20201]"
"5296","FBXO36","F-box protein 36 [Source:HGNC Symbol;Acc:HGNC:27020]"
"5297","FBXO38","F-box protein 38 [Source:HGNC Symbol;Acc:HGNC:28844]"
"5298","FBXO39","F-box protein 39 [Source:HGNC Symbol;Acc:HGNC:28565]"
"5299","FBXO4","F-box protein 4 [Source:HGNC Symbol;Acc:HGNC:13583]"
"5300","FBXO40","F-box protein 40 [Source:HGNC Symbol;Acc:HGNC:29816]"
"5301","FBXO41","F-box protein 41 [Source:HGNC Symbol;Acc:HGNC:29409]"
"5302","FBXO42","F-box protein 42 [Source:HGNC Symbol;Acc:HGNC:29249]"
"5303","FBXO43","F-box protein 43 [Source:HGNC Symbol;Acc:HGNC:28521]"
"5304","FBXO44","F-box protein 44 [Source:HGNC Symbol;Acc:HGNC:24847]"
"5305","FBXO45","F-box protein 45 [Source:HGNC Symbol;Acc:HGNC:29148]"
"5306","FBXO46","F-box protein 46 [Source:HGNC Symbol;Acc:HGNC:25069]"
"5307","FBXO47","F-box protein 47 [Source:HGNC Symbol;Acc:HGNC:31969]"
"5308","FBXO48","F-box protein 48 [Source:HGNC Symbol;Acc:HGNC:33857]"
"5309","FBXO5","F-box protein 5 [Source:HGNC Symbol;Acc:HGNC:13584]"
"5310","FBXO6","F-box protein 6 [Source:HGNC Symbol;Acc:HGNC:13585]"
"5311","FBXO7","F-box protein 7 [Source:HGNC Symbol;Acc:HGNC:13586]"
"5312","FBXO8","F-box protein 8 [Source:HGNC Symbol;Acc:HGNC:13587]"
"5313","FBXO9","F-box protein 9 [Source:HGNC Symbol;Acc:HGNC:13588]"
"5314","FBXW10","F-box and WD repeat domain containing 10 [Source:HGNC Symbol;Acc:HGNC:1211]"
"5315","FBXW11","F-box and WD repeat domain containing 11 [Source:HGNC Symbol;Acc:HGNC:13607]"
"5316","FBXW12","F-box and WD repeat domain containing 12 [Source:HGNC Symbol;Acc:HGNC:20729]"
"5317","FBXW2","F-box and WD repeat domain containing 2 [Source:HGNC Symbol;Acc:HGNC:13608]"
"5318","FBXW4","F-box and WD repeat domain containing 4 [Source:HGNC Symbol;Acc:HGNC:10847]"
"5319","FBXW5","F-box and WD repeat domain containing 5 [Source:HGNC Symbol;Acc:HGNC:13613]"
"5320","FBXW7","F-box and WD repeat domain containing 7 [Source:HGNC Symbol;Acc:HGNC:16712]"
"5321","FBXW8","F-box and WD repeat domain containing 8 [Source:HGNC Symbol;Acc:HGNC:13597]"
"5322","FBXW9","F-box and WD repeat domain containing 9 [Source:HGNC Symbol;Acc:HGNC:28136]"
"5323","FCAMR","Fc alpha and mu receptor [Source:HGNC Symbol;Acc:HGNC:24692]"
"5324","FCAR","Fc alpha receptor [Source:HGNC Symbol;Acc:HGNC:3608]"
"5325","FCER1A","Fc epsilon receptor Ia [Source:HGNC Symbol;Acc:HGNC:3609]"
"5326","FCER1G","Fc epsilon receptor Ig [Source:HGNC Symbol;Acc:HGNC:3611]"
"5327","FCF1","FCF1 rRNA-processing protein [Source:HGNC Symbol;Acc:HGNC:20220]"
"5328","FCGBP","Fc gamma binding protein [Source:HGNC Symbol;Acc:HGNC:13572]"
"5329","FCGR1A","Fc gamma receptor Ia [Source:HGNC Symbol;Acc:HGNC:3613]"
"5330","FCGR1B",NA
"5331","FCGR2A","Fc gamma receptor IIa [Source:HGNC Symbol;Acc:HGNC:3616]"
"5332","FCGR2B","Fc gamma receptor IIb [Source:HGNC Symbol;Acc:HGNC:3618]"
"5333","FCGR3A","Fc gamma receptor IIIa [Source:HGNC Symbol;Acc:HGNC:3619]"
"5334","FCGR3B","Fc gamma receptor IIIb [Source:HGNC Symbol;Acc:HGNC:3620]"
"5335","FCGRT","Fc gamma receptor and transporter [Source:HGNC Symbol;Acc:HGNC:3621]"
"5336","FCHO1","FCH and mu domain containing endocytic adaptor 1 [Source:HGNC Symbol;Acc:HGNC:29002]"
"5337","FCHO2","FCH and mu domain containing endocytic adaptor 2 [Source:HGNC Symbol;Acc:HGNC:25180]"
"5338","FCHSD1","FCH and double SH3 domains 1 [Source:HGNC Symbol;Acc:HGNC:25463]"
"5339","FCHSD2","FCH and double SH3 domains 2 [Source:HGNC Symbol;Acc:HGNC:29114]"
"5340","FCMR","Fc mu receptor [Source:HGNC Symbol;Acc:HGNC:14315]"
"5341","FCN1","ficolin 1 [Source:HGNC Symbol;Acc:HGNC:3623]"
"5342","FCN2","ficolin 2 [Source:HGNC Symbol;Acc:HGNC:3624]"
"5343","FCN3","ficolin 3 [Source:HGNC Symbol;Acc:HGNC:3625]"
"5344","FCRL1","Fc receptor like 1 [Source:HGNC Symbol;Acc:HGNC:18509]"
"5345","FCRL2","Fc receptor like 2 [Source:HGNC Symbol;Acc:HGNC:14875]"
"5346","FCRL3","Fc receptor like 3 [Source:HGNC Symbol;Acc:HGNC:18506]"
"5347","FCRL4","Fc receptor like 4 [Source:HGNC Symbol;Acc:HGNC:18507]"
"5348","FCRL5","Fc receptor like 5 [Source:HGNC Symbol;Acc:HGNC:18508]"
"5349","FCRL6","Fc receptor like 6 [Source:HGNC Symbol;Acc:HGNC:31910]"
"5350","FCRLA","Fc receptor like A [Source:HGNC Symbol;Acc:HGNC:18504]"
"5351","FCRLB","Fc receptor like B [Source:HGNC Symbol;Acc:HGNC:26431]"
"5352","FCSK","fucose kinase [Source:HGNC Symbol;Acc:HGNC:29500]"
"5353","FDCSP","follicular dendritic cell secreted protein [Source:HGNC Symbol;Acc:HGNC:19215]"
"5354","FDFT1","farnesyl-diphosphate farnesyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:3629]"
"5355","FDPS","farnesyl diphosphate synthase [Source:HGNC Symbol;Acc:HGNC:3631]"
"5356","FDX1","ferredoxin 1 [Source:HGNC Symbol;Acc:HGNC:3638]"
"5357","FDX2","ferredoxin 2 [Source:HGNC Symbol;Acc:HGNC:30546]"
"5358","FDXACB1","ferredoxin-fold anticodon binding domain containing 1 [Source:HGNC Symbol;Acc:HGNC:25110]"
"5359","FDXR","ferredoxin reductase [Source:HGNC Symbol;Acc:HGNC:3642]"
"5360","FECH","ferrochelatase [Source:HGNC Symbol;Acc:HGNC:3647]"
"5361","FEM1A","fem-1 homolog A [Source:HGNC Symbol;Acc:HGNC:16934]"
"5362","FEM1B","fem-1 homolog B [Source:HGNC Symbol;Acc:HGNC:3649]"
"5363","FEM1C","fem-1 homolog C [Source:HGNC Symbol;Acc:HGNC:16933]"
"5364","FER","FER tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:3655]"
"5365","FER1L5","fer-1 like family member 5 [Source:HGNC Symbol;Acc:HGNC:19044]"
"5366","FER1L6","fer-1 like family member 6 [Source:HGNC Symbol;Acc:HGNC:28065]"
"5367","FERD3L","Fer3 like bHLH transcription factor [Source:HGNC Symbol;Acc:HGNC:16660]"
"5368","FERMT1","FERM domain containing kindlin 1 [Source:HGNC Symbol;Acc:HGNC:15889]"
"5369","FERMT2","FERM domain containing kindlin 2 [Source:HGNC Symbol;Acc:HGNC:15767]"
"5370","FERMT3","FERM domain containing kindlin 3 [Source:HGNC Symbol;Acc:HGNC:23151]"
"5371","FES","FES proto-oncogene, tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:3657]"
"5372","FETUB","fetuin B [Source:HGNC Symbol;Acc:HGNC:3658]"
"5373","FEV","FEV transcription factor, ETS family member [Source:HGNC Symbol;Acc:HGNC:18562]"
"5374","FEZ1","fasciculation and elongation protein zeta 1 [Source:HGNC Symbol;Acc:HGNC:3659]"
"5375","FEZ2","fasciculation and elongation protein zeta 2 [Source:HGNC Symbol;Acc:HGNC:3660]"
"5376","FEZF1","FEZ family zinc finger 1 [Source:HGNC Symbol;Acc:HGNC:22788]"
"5377","FEZF2","FEZ family zinc finger 2 [Source:HGNC Symbol;Acc:HGNC:13506]"
"5378","FFAR1","free fatty acid receptor 1 [Source:HGNC Symbol;Acc:HGNC:4498]"
"5379","FFAR2","free fatty acid receptor 2 [Source:HGNC Symbol;Acc:HGNC:4501]"
"5380","FFAR4","free fatty acid receptor 4 [Source:HGNC Symbol;Acc:HGNC:19061]"
"5381","FGA","fibrinogen alpha chain [Source:HGNC Symbol;Acc:HGNC:3661]"
"5382","FGB","fibrinogen beta chain [Source:HGNC Symbol;Acc:HGNC:3662]"
"5383","FGD1","FYVE, RhoGEF and PH domain containing 1 [Source:HGNC Symbol;Acc:HGNC:3663]"
"5384","FGD2","FYVE, RhoGEF and PH domain containing 2 [Source:HGNC Symbol;Acc:HGNC:3664]"
"5385","FGD3","FYVE, RhoGEF and PH domain containing 3 [Source:HGNC Symbol;Acc:HGNC:16027]"
"5386","FGD4","FYVE, RhoGEF and PH domain containing 4 [Source:HGNC Symbol;Acc:HGNC:19125]"
"5387","FGD5","FYVE, RhoGEF and PH domain containing 5 [Source:HGNC Symbol;Acc:HGNC:19117]"
"5388","FGD6","FYVE, RhoGEF and PH domain containing 6 [Source:HGNC Symbol;Acc:HGNC:21740]"
"5389","FGF1","fibroblast growth factor 1 [Source:HGNC Symbol;Acc:HGNC:3665]"
"5390","FGF10","fibroblast growth factor 10 [Source:HGNC Symbol;Acc:HGNC:3666]"
"5391","FGF11","fibroblast growth factor 11 [Source:HGNC Symbol;Acc:HGNC:3667]"
"5392","FGF12","fibroblast growth factor 12 [Source:HGNC Symbol;Acc:HGNC:3668]"
"5393","FGF13","fibroblast growth factor 13 [Source:HGNC Symbol;Acc:HGNC:3670]"
"5394","FGF14","fibroblast growth factor 14 [Source:HGNC Symbol;Acc:HGNC:3671]"
"5395","FGF16","fibroblast growth factor 16 [Source:HGNC Symbol;Acc:HGNC:3672]"
"5396","FGF17","fibroblast growth factor 17 [Source:HGNC Symbol;Acc:HGNC:3673]"
"5397","FGF18","fibroblast growth factor 18 [Source:HGNC Symbol;Acc:HGNC:3674]"
"5398","FGF19","fibroblast growth factor 19 [Source:HGNC Symbol;Acc:HGNC:3675]"
"5399","FGF2","fibroblast growth factor 2 [Source:HGNC Symbol;Acc:HGNC:3676]"
"5400","FGF20","fibroblast growth factor 20 [Source:HGNC Symbol;Acc:HGNC:3677]"
"5401","FGF21","fibroblast growth factor 21 [Source:HGNC Symbol;Acc:HGNC:3678]"
"5402","FGF22","fibroblast growth factor 22 [Source:HGNC Symbol;Acc:HGNC:3679]"
"5403","FGF23","fibroblast growth factor 23 [Source:HGNC Symbol;Acc:HGNC:3680]"
"5404","FGF3","fibroblast growth factor 3 [Source:HGNC Symbol;Acc:HGNC:3681]"
"5405","FGF4","fibroblast growth factor 4 [Source:HGNC Symbol;Acc:HGNC:3682]"
"5406","FGF5","fibroblast growth factor 5 [Source:HGNC Symbol;Acc:HGNC:3683]"
"5407","FGF6","fibroblast growth factor 6 [Source:HGNC Symbol;Acc:HGNC:3684]"
"5408","FGF7","fibroblast growth factor 7 [Source:HGNC Symbol;Acc:HGNC:3685]"
"5409","FGF8","fibroblast growth factor 8 [Source:HGNC Symbol;Acc:HGNC:3686]"
"5410","FGF9","fibroblast growth factor 9 [Source:HGNC Symbol;Acc:HGNC:3687]"
"5411","FGFBP1","fibroblast growth factor binding protein 1 [Source:HGNC Symbol;Acc:HGNC:19695]"
"5412","FGFBP2","fibroblast growth factor binding protein 2 [Source:HGNC Symbol;Acc:HGNC:29451]"
"5413","FGFBP3","fibroblast growth factor binding protein 3 [Source:HGNC Symbol;Acc:HGNC:23428]"
"5414","FGFR1","fibroblast growth factor receptor 1 [Source:HGNC Symbol;Acc:HGNC:3688]"
"5415","FGFR1OP",NA
"5416","FGFR1OP2","FGFR1 oncogene partner 2 [Source:HGNC Symbol;Acc:HGNC:23098]"
"5417","FGFR2","fibroblast growth factor receptor 2 [Source:HGNC Symbol;Acc:HGNC:3689]"
"5418","FGFR3","fibroblast growth factor receptor 3 [Source:HGNC Symbol;Acc:HGNC:3690]"
"5419","FGFR4","fibroblast growth factor receptor 4 [Source:HGNC Symbol;Acc:HGNC:3691]"
"5420","FGFRL1","fibroblast growth factor receptor like 1 [Source:HGNC Symbol;Acc:HGNC:3693]"
"5421","FGG","fibrinogen gamma chain [Source:HGNC Symbol;Acc:HGNC:3694]"
"5422","FGGY","FGGY carbohydrate kinase domain containing [Source:HGNC Symbol;Acc:HGNC:25610]"
"5423","FGL1","fibrinogen like 1 [Source:HGNC Symbol;Acc:HGNC:3695]"
"5424","FGL2","fibrinogen like 2 [Source:HGNC Symbol;Acc:HGNC:3696]"
"5425","FGR","FGR proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:3697]"
"5426","FH","fumarate hydratase [Source:HGNC Symbol;Acc:HGNC:3700]"
"5427","FHAD1","forkhead associated phosphopeptide binding domain 1 [Source:HGNC Symbol;Acc:HGNC:29408]"
"5428","FHDC1","FH2 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:29363]"
"5429","FHIT","fragile histidine triad diadenosine triphosphatase [Source:HGNC Symbol;Acc:HGNC:3701]"
"5430","FHL2","four and a half LIM domains 2 [Source:HGNC Symbol;Acc:HGNC:3703]"
"5431","FHL3","four and a half LIM domains 3 [Source:HGNC Symbol;Acc:HGNC:3704]"
"5432","FHL5","four and a half LIM domains 5 [Source:HGNC Symbol;Acc:HGNC:17371]"
"5433","FHOD1","formin homology 2 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:17905]"
"5434","FHOD3","formin homology 2 domain containing 3 [Source:HGNC Symbol;Acc:HGNC:26178]"
"5435","FIBCD1","fibrinogen C domain containing 1 [Source:HGNC Symbol;Acc:HGNC:25922]"
"5436","FIBIN","fin bud initiation factor homolog [Source:HGNC Symbol;Acc:HGNC:33747]"
"5437","FIBP","FGF1 intracellular binding protein [Source:HGNC Symbol;Acc:HGNC:3705]"
"5438","FICD","FIC domain protein adenylyltransferase [Source:HGNC Symbol;Acc:HGNC:18416]"
"5439","FIG4","FIG4 phosphoinositide 5-phosphatase [Source:HGNC Symbol;Acc:HGNC:16873]"
"5440","FIGLA","folliculogenesis specific bHLH transcription factor [Source:HGNC Symbol;Acc:HGNC:24669]"
"5441","FIGN","fidgetin, microtubule severing factor [Source:HGNC Symbol;Acc:HGNC:13285]"
"5442","FIGNL1","fidgetin like 1 [Source:HGNC Symbol;Acc:HGNC:13286]"
"5443","FIGNL2","fidgetin like 2 [Source:HGNC Symbol;Acc:HGNC:13287]"
"5444","FILIP1","filamin A interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:21015]"
"5445","FILIP1L","filamin A interacting protein 1 like [Source:HGNC Symbol;Acc:HGNC:24589]"
"5446","FIP1L1","factor interacting with PAPOLA and CPSF1 [Source:HGNC Symbol;Acc:HGNC:19124]"
"5447","FIS1","fission, mitochondrial 1 [Source:HGNC Symbol;Acc:HGNC:21689]"
"5448","FITM1","fat storage inducing transmembrane protein 1 [Source:HGNC Symbol;Acc:HGNC:33714]"
"5449","FITM2","fat storage inducing transmembrane protein 2 [Source:HGNC Symbol;Acc:HGNC:16135]"
"5450","FIZ1","FLT3 interacting zinc finger 1 [Source:HGNC Symbol;Acc:HGNC:25917]"
"5451","FJX1","four-jointed box kinase 1 [Source:HGNC Symbol;Acc:HGNC:17166]"
"5452","FKBP10","FKBP prolyl isomerase 10 [Source:HGNC Symbol;Acc:HGNC:18169]"
"5453","FKBP11","FKBP prolyl isomerase 11 [Source:HGNC Symbol;Acc:HGNC:18624]"
"5454","FKBP14","FKBP prolyl isomerase 14 [Source:HGNC Symbol;Acc:HGNC:18625]"
"5455","FKBP15","FKBP prolyl isomerase family member 15 [Source:HGNC Symbol;Acc:HGNC:23397]"
"5456","FKBP1A","FKBP prolyl isomerase 1A [Source:HGNC Symbol;Acc:HGNC:3711]"
"5457","FKBP1B","FKBP prolyl isomerase 1B [Source:HGNC Symbol;Acc:HGNC:3712]"
"5458","FKBP3","FKBP prolyl isomerase 3 [Source:HGNC Symbol;Acc:HGNC:3719]"
"5459","FKBP5","FKBP prolyl isomerase 5 [Source:HGNC Symbol;Acc:HGNC:3721]"
"5460","FKBP6","FKBP prolyl isomerase family member 6 (inactive) [Source:HGNC Symbol;Acc:HGNC:3722]"
"5461","FKBP7","FKBP prolyl isomerase 7 [Source:HGNC Symbol;Acc:HGNC:3723]"
"5462","FKBP8","FKBP prolyl isomerase 8 [Source:HGNC Symbol;Acc:HGNC:3724]"
"5463","FKBP9","FKBP prolyl isomerase 9 [Source:HGNC Symbol;Acc:HGNC:3725]"
"5464","FKBPL","FKBP prolyl isomerase like [Source:HGNC Symbol;Acc:HGNC:13949]"
"5465","FKRP","fukutin related protein [Source:HGNC Symbol;Acc:HGNC:17997]"
"5466","FKTN","fukutin [Source:HGNC Symbol;Acc:HGNC:3622]"
"5467","FLACC1","flagellum associated containing coiled-coil domains 1 [Source:HGNC Symbol;Acc:HGNC:14439]"
"5468","FLAD1","flavin adenine dinucleotide synthetase 1 [Source:HGNC Symbol;Acc:HGNC:24671]"
"5469","FLCN","folliculin [Source:HGNC Symbol;Acc:HGNC:27310]"
"5470","FLG","filaggrin [Source:HGNC Symbol;Acc:HGNC:3748]"
"5471","FLG2","filaggrin 2 [Source:HGNC Symbol;Acc:HGNC:33276]"
"5472","FLI1","Fli-1 proto-oncogene, ETS transcription factor [Source:HGNC Symbol;Acc:HGNC:3749]"
"5473","FLII","FLII actin remodeling protein [Source:HGNC Symbol;Acc:HGNC:3750]"
"5474","FLNA","filamin A [Source:HGNC Symbol;Acc:HGNC:3754]"
"5475","FLNB","filamin B [Source:HGNC Symbol;Acc:HGNC:3755]"
"5476","FLNC","filamin C [Source:HGNC Symbol;Acc:HGNC:3756]"
"5477","FLOT1","flotillin 1 [Source:HGNC Symbol;Acc:HGNC:3757]"
"5478","FLOT2","flotillin 2 [Source:HGNC Symbol;Acc:HGNC:3758]"
"5479","FLRT1","fibronectin leucine rich transmembrane protein 1 [Source:HGNC Symbol;Acc:HGNC:3760]"
"5480","FLRT2","fibronectin leucine rich transmembrane protein 2 [Source:HGNC Symbol;Acc:HGNC:3761]"
"5481","FLRT3","fibronectin leucine rich transmembrane protein 3 [Source:HGNC Symbol;Acc:HGNC:3762]"
"5482","FLT3","fms related receptor tyrosine kinase 3 [Source:HGNC Symbol;Acc:HGNC:3765]"
"5483","FLT3LG","fms related receptor tyrosine kinase 3 ligand [Source:HGNC Symbol;Acc:HGNC:3766]"
